OBJECTID,SRA (at original adoption/recommendation),SRA (SRA22_2),FHSZ,FHSZ_Description,FHSZ_7Class,Shape__Area,Shape__Length
1,,SRA,1,Moderate,SRA Moderate,1572.0659942627,172.429380166254
2,,SRA,1,Moderate,SRA Moderate,6692.74971008301,543.383043118938
3,,SRA,1,Moderate,SRA Moderate,198.790283203125,73.2640964197765
4,,SRA,1,Moderate,SRA Moderate,70941.150390625,1766.17558079276
5,,SRA,1,Moderate,SRA Moderate,1348545.20915222,11101.1306142632
6,,SRA,1,Moderate,SRA Moderate,657000,6360
7,,SRA,1,Moderate,SRA Moderate,99000,1680
8,,SRA,1,Moderate,SRA Moderate,247629.029006958,2683.18455553566
9,,SRA,1,Moderate,SRA Moderate,266321.611877441,2368.65360651846
10,,SRA,1,Moderate,SRA Moderate,29589.8609924316,877.775253359426
11,,SRA,1,Moderate,SRA Moderate,198437.444229126,2497.03163877171
12,,SRA,1,Moderate,SRA Moderate,119.111602783203,57.3021337130631
13,,SRA,1,Moderate,SRA Moderate,166500,2700
14,,SRA,1,Moderate,SRA Moderate,144581.31968689,3006.61920246
15,,SRA,1,Moderate,SRA Moderate,509224.617111206,2870.39958831678
16,,SRA,1,Moderate,SRA Moderate,2826657.6436615,9997.22221718291
17,,SRA,1,Moderate,SRA Moderate,86852.6732177734,1680.08453621617
18,,SRA,1,Moderate,SRA Moderate,643.487869262695,112.630755735124
19,,SRA,1,Moderate,SRA Moderate,133.379318237305,55.8460420698941
20,,SRA,1,Moderate,SRA Moderate,67765.9738006592,1981.29622573222
21,,SRA,1,Moderate,SRA Moderate,3018.66682434082,297.412335475216
22,,SRA,1,Moderate,SRA Moderate,185.796737670898,65.8388248313586
23,,SRA,1,Moderate,SRA Moderate,206.069396972656,68.5172832505688
24,,SRA,1,Moderate,SRA Moderate,221016.967376709,4351.57729468204
25,,SRA,1,Moderate,SRA Moderate,145.34700012207,69.7339297574869
26,,SRA,1,Moderate,SRA Moderate,1771350.11935425,11712.955376884
27,,SRA,1,Moderate,SRA Moderate,10429.5362701416,418.257551847986
28,,SRA,1,Moderate,SRA Moderate,791794.915557861,5321.93470481813
29,,SRA,1,Moderate,SRA Moderate,196.046264648438,57.8567052391355
30,,SRA,1,Moderate,SRA Moderate,3940.42367553711,433.625501964925
31,,SRA,1,Moderate,SRA Moderate,9271.05786132813,715.438161072277
32,,SRA,1,Moderate,SRA Moderate,859481.196212769,4855.2900856501
33,,SRA,1,Moderate,SRA Moderate,296.633987426758,79.7945901525099
34,,SRA,1,Moderate,SRA Moderate,1701615.33320618,10522.5954639455
35,,SRA,1,Moderate,SRA Moderate,158400,2940
36,,SRA,1,Moderate,SRA Moderate,73531.8059844971,1653.68137020387
37,,SRA,1,Moderate,SRA Moderate,701100,5100
