Calendar Year, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non-Cat Cov A Fire Claims , Non-Cat Cov A Fire Losses , Non-Cat Cov A Smoke Claims , Non-Cat Cov A Smoke Losses , Non-Cat Cov C Fire Claims , Non-Cat Cov C Fire Losses , Non-Cat Cov C Smoke Claims , Non-Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
23," 7,022,424,369 "," 4,158,225 "," 583,391 "," 379,661 ",, 1.06 ," 2,007,762 "," 1,573,245 "," 361,085 "," 195,451 "," 20,662 "," 3,354 "," 458,854,181 ", 931 ," 15,425,091 "," 2,606 "," 194,839,566 ", 283 ," 6,307,163 ", 206 ," 15,313,490 ", 15 ," 228,954 ", 66 ," 5,135,508 ", 11 ," 102,048 "
HO," 7,022,424,369 "," 4,158,225 "," 583,391 "," 379,661 ",, 1.06 ," 2,007,762 "," 1,573,245 "," 361,085 "," 195,451 "," 20,662 "," 3,354 "," 458,854,181 ", 931 ," 15,425,091 "," 2,606 "," 194,839,566 ", 283 ," 6,307,163 ", 206 ," 15,313,490 ", 15 ," 228,954 ", 66 ," 5,135,508 ", 11 ," 102,048 "
Alameda," 328,182,956 "," 193,517 "," 680,796 "," 448,281 ",, 0.68 ," 100,046 "," 76,547 "," 11,683 "," 5,004 ", 236 , 138 ," 21,221,953 ", 21 ," 438,768 ", 116 ," 9,072,885 ", 7 ," 185,793 ", 7 ," 35,183 ", 2 ," 13,953 ", -   , -   , 1 ," 4,574 "
94501," 10,211,318 "," 6,049 "," 722,206 "," 487,453 ",, 0.49 ," 3,221 "," 2,722 ", 107 ,,, -   , -   , -   , -   , -   , -   , -   , -   , 1 ," 3,876 ", -   , -   , -   , -   , -   , -   
94502," 3,120,300 "," 1,964 "," 701,278 "," 472,551 ",, 0.44 ," 1,101 ", 862 , 1 ,,, 1 ," 72,858 ", -   , -   , 1 ," 32,622 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94536," 12,203,123 "," 8,939 "," 579,133 "," 383,056 ",, 0.35 ," 5,909 "," 2,923 ", 103 , 3 ,, 4 ," 1,328,094 ", -   , -   , 6 ," 341,427 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94538," 7,144,492 "," 6,242 "," 489,091 "," 318,793 ",, 0.29 ," 4,429 "," 1,810 ", 3 ,,, 5 ," 356,924 ", -   , -   , 3 ," 165,923 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94539," 15,578,268 "," 9,167 "," 820,185 "," 531,761 ",, 0.39 ," 5,976 "," 2,842 ", 322 , 22 , 4 , 6 ," 1,178,340 ", -   , -   , 6 ," 362,492 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94541," 7,889,119 "," 5,582 "," 504,936 "," 332,428 ",, 0.67 ," 2,641 "," 2,207 ", 664 , 71 ,, 6 ," 802,949 ", 2 ," 11,788 ", 5 ," 325,293 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94542," 5,685,733 "," 2,463 "," 834,390 "," 525,238 ",, 1.48 , 295 , 960 , 945 , 250 , 13 , 1 ," 5,850 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94544," 9,104,905 "," 6,896 "," 482,836 "," 313,351 ",, 0.32 ," 4,786 "," 2,029 ", 74 , 7 ,, 4 ," 688,084 ", 1 , 833 , 4 ," 406,007 ", 1 ," 1,560 ", -   , -   , -   , -   , -   , -   , -   , -   
94545," 5,573,241 "," 4,297 "," 515,188 "," 338,665 ",, 0.30 ," 3,020 "," 1,277 ",,,, 5 ," 696,097 ", 1 , 920 , 4 ," 157,790 ", 1 ," 1,810 ", -   , -   , -   , -   , -   , -   , -   , -   
94546," 10,196,290 "," 6,657 "," 592,212 "," 392,808 ",, 0.70 ," 3,007 "," 2,748 ", 815 , 83 , 4 , 2 ," 317,576 ", -   , -   , 3 ," 84,184 ", -   , -   , 1 ," 15,000 ", -   , -   , -   , -   , -   , -   
