city,county
 Acampo, San Joaquin
 Acton, Los Angeles
 Adelanto, San Bernardino
 Adin, Modoc
 Agoura Hills, Los Angeles
 Aguanga, Riverside
 Ahwahnee, Madera
 Alameda, Alameda
 Alamo, Contra Costa
 Albany, Alameda
 Albion, Mendocino
 Alderpoint, Humboldt
 Alhambra, Los Angeles
 Aliso Viejo, Orange
 Alleghany, Sierra
 Alpaugh, Tulare
 Alpine, San Diego
 Alta, Placer
 Altadena, Los Angeles
 Altaville, Calaveras
 Alturas, Modoc
 Alviso, Santa Clara
 Amador City, Amador
 Amboy, San Bernardino
 American Canyon, Napa
 Anaheim, Orange
 Anderson, Shasta
 Angels Camp, Calaveras
 Angelus Oaks, San Bernardino
 Angwin, Napa
 Annapolis, Sonoma
 Antelope, Sacramento
 Antioch, Contra Costa
 Anza, Riverside
 Apple Valley, San Bernardino
 Applegate, Placer
 Aptos, Santa Cruz
 Arbuckle, Colusa
 Arcadia, Los Angeles
 Arcata, Humboldt
 Armona, Kings
 Arnold, Calaveras
 Aromas, Monterey
 Arroyo Grande, San Luis Obispo
 Artesia, Los Angeles
 Artois, Glenn
 Arvin, Kern
 Atascadero, San Luis Obispo
 Atherton, San Mateo
 Atwater, Merced
 Atwood, Orange
 Auberry, Fresno
 Auburn, Placer
 Avalon, Los Angeles
 Avenal, Kings
 Avery, Calaveras
 Avila Beach, San Luis Obispo
 Azusa, Los Angeles
 Badger, Tulare
 Baker, San Bernardino
 Bakersfield, Kern
 Baldwin Park, Los Angeles
 Ballico, Merced
 Bangor, Butte
 Banning, Riverside
 Bard, Imperial
 Barstow, San Bernardino
 Bass Lake, Madera
 Bayside, Humboldt
 Beale AFB, Yuba
 Beaumont, Riverside
 Beckwourth, Plumas
 Belden, Plumas
 Bell Gardens, Los Angeles
 Bell, Los Angeles
 Bella Vista, Shasta
 Bellflower, Los Angeles
 Belmont, San Mateo
 Belvedere Tiburon, Marin
 Ben Lomond, Santa Cruz
 Benicia, Solano
 Benton, Mono
 Berkeley, Alameda
 Berry Creek, Butte
 Bethel Island, Contra Costa
 Beverly Hills, Los Angeles
 Bieber, Lassen
 Big Bar, Trinity
 Big Bear City, San Bernardino
 Big Bear Lake, San Bernardino
 Big Bend, Shasta
 Big Creek, Fresno
 Big Oak Flat, Tuolumne
 Big Pine, Inyo
 Big Sur, Monterey
 Biggs, Butte
 Biola, Fresno
 Birds Landing, Solano
 Bishop, Inyo
 Blairsden Graeagle, Plumas
 Blocksburg, Humboldt
 Bloomington, San Bernardino
 Blue Jay, San Bernardino
 Blue Lake, Humboldt
 Blythe, Riverside
 Bodega Bay, Sonoma
 Bodega, Sonoma
 Bodfish, Kern
 Bolinas, Marin
 Bonita, San Diego
 Bonsall, San Diego
 Boonville, Mendocino
 Boron, Kern
 Borrego Springs, San Diego
 Boulder Creek, Santa Cruz
 Boulevard, San Diego
 Boyes Hot Springs, Sonoma
 Bradley, Monterey
