,zipcode,class,city,county,Area Code(s),pop,% of Population% of Pop
0,90001,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"55,859",0.14%
1,90002,Standard,Los Angeles,Los Angeles,213 / 323 / 562 / 738,"53,150",0.13%
2,90003,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"72,764",0.18%
3,90004,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"58,585",0.15%
4,90005,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 562 / 626 / 738 / 818,"37,987",0.10%
5,90006,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"58,229",0.15%
6,90007,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"40,944",0.10%
7,90008,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"33,041",0.08%
8,90009 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
9,90010,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 562 / 626 / 738 / 818,"5,400",0.01%
10,90011,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"102,308",0.26%
11,90012,Standard,Los Angeles,Los Angeles,213 / 323 / 738 / 818,"33,851",0.09%
12,90013,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,"15,589",0.04%
13,90014,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,"9,254",0.02%
14,90015,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 818,"27,324",0.07%
15,90016,Standard,Los Angeles,Los Angeles,424,"46,512",0.12%
16,90017,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 818,"27,295",0.07%
17,90018,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"50,179",0.13%
18,90019,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"62,002",0.16%
19,90020,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 562 / 626 / 738 / 818,"38,694",0.10%
20,90021,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,"5,192",0.01%
21,90022,Standard,Los Angeles,Los Angeles,323 / 562 / 738,"64,517",0.16%
22,90023,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"45,939",0.12%
23,90024,Standard,Los Angeles,Los Angeles,310 / 323 / 738 / 818,"52,862",0.13%
24,90025,Standard,Los Angeles,Los Angeles,310 / 424 / 818,"45,466",0.11%
25,90026,Standard,Los Angeles,Los Angeles,213 / 738,"63,329",0.16%
26,90027,Standard,Los Angeles,Los Angeles,213 / 323 / 738 / 747 / 818,"44,471",0.11%
27,90028,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 738 / 747 / 818,"32,330",0.08%
28,90029,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"34,695",0.09%
29,90030 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
30,90031,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"37,333",0.09%
31,90032,Standard,Los Angeles,Los Angeles,626,"43,506",0.11%
32,90033,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"46,081",0.12%
