year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2021,21," 8,257,089,727 "," 6,180,322 "," 515,295 "," 336,858 ",,,,,,,," 6,392 "," 701,576,506 "," 1,508 "," 21,019,355 "," 4,669 "," 276,105,601 ", 578 ," 5,248,833 "," 2,064 "," 303,097,635 "," 4,045 "," 39,904,435 "," 1,705 "," 118,065,274 ", 872 ," 3,822,810 "
2021,94501," 13,240,769 "," 8,691 "," 635,915 "," 438,165 ",,,,,,,, 5 ," 3,532,728 ", 0   , 0   , 6 ," 1,235,459 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94502," 3,992,593 "," 2,900 "," 600,276 "," 414,096 ",,,,,,,, 0   , 0   , 1 ," 13,857 ", 0   , 0   , 1 ," 6,725 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94536," 13,063,144 "," 11,490 "," 507,173 "," 349,098 ",,,,,,,, 12 ," 2,653,204 ", 0   , 0   , 12 ," 1,048,890 ", 0   , 0   , 1 ," 2,817 ", 1 ," 10,403 ", 0   , 0   , 0   , 0   
2021,94538," 7,637,665 "," 7,953 "," 424,960 "," 289,592 ",,,,,,,, 8 ," 1,805,893 ", 0   , 0   , 8 ," 816,426 ", 0   , 0   , 1 ," 5,229 ", 1 , 519 , 0   , 0   , 0   , 0   
2021,94539," 16,658,361 "," 11,930 "," 708,452 "," 484,990 ",,,,,,,, 3 ," 1,289,175 ", 0   , 0   , 3 ," 489,896 ", 0   , 0   , 0   , 0   , 1 ," 8,561 ", 0   , 0   , 0   , 0   
2021,94541," 8,971,900 "," 7,640 "," 443,273 "," 301,161 ",,,,,,,, 10 ," 467,144 ", 0   , 0   , 8 ," 153,538 ", 0   , 0   , 1 ," 3,706 ", 0   , 0   , 1 ," 2,971 ", 0   , 0   
2021,94542," 5,789,451 "," 3,308 "," 723,452 "," 480,314 ",,,,,,,, 3 ," 330,802 ", 0   , 0   , 2 ," 12,821 ", 0   , 0   , 1 ," 16,133 ", 0   , 0   , 1 ," 4,950 ", 0   , 0   
2021,94544," 10,005,160 "," 9,260 "," 422,305 "," 283,300 ",,,,,,,, 7 ," 373,431 ", 1 ," 2,750 ", 4 ," 191,298 ", 0   , 0   , 0   , 0   , 1 ," 7,064 ", 0   , 0   , 1 ," 3,607 "
2021,94545," 6,107,846 "," 5,799 "," 453,014 "," 307,184 ",,,,,,,, 6 ," 246,640 ", 2 ," 28,913 ", 5 ," 41,441 ", 1 ," 7,522 ", 1 ," 22,117 ", 1 ," 5,791 ", 1 ," 18,511 ", 0   , 0   
2021,94546," 11,917,838 "," 9,471 "," 513,867 "," 351,808 ",,,,,,,, 10 ," 1,203,316 ", 0   , 0   , 8 ," 284,072 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
