year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2021,21," 5,468,501,591 "," 4,059,907 "," 523,695 "," 338,953 ",, 1.03 ," 2,075,591 "," 1,431,316 "," 334,068 "," 196,816 "," 22,144 "," 3,869 "," 495,245,743 ", 965 ," 14,314,977 "," 3,066 "," 194,259,914 ", 370 ," 3,922,462 "," 1,456 "," 248,026,552 "," 3,869 "," 37,676,388 "," 1,205 "," 92,623,506 ", 736 ," 3,289,560 "
2021,94501," 8,494,828 "," 5,858 "," 632,105 "," 438,517 ",, 0.43 ," 3,335 "," 2,517 ", 6 , 0   , 0   , 5 ," 3,532,728 ", 0   , 0   , 5 ," 1,209,636 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94502," 2,632,740 "," 1,942 "," 609,209 "," 423,602 ",, 0.42 ," 1,124 ", 817 , 1 , 0   , 0   , 0   , 0   , 1 ," 13,857 ", 0   , 0   , 1 ," 6,725 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94536," 9,894,133 "," 8,806 "," 507,381 "," 349,044 ",, 0.30 ," 6,284 "," 2,408 ", 109 , 5 , 0   , 12 ," 2,653,204 ", 0   , 0   , 12 ," 1,048,890 ", 0   , 0   , 0   , 0   , 1 ," 10,403 ", 0   , 0   , 0   , 0   
2021,94538," 5,899,054 "," 6,196 "," 425,025 "," 289,789 ",, 0.24 ," 4,719 "," 1,474 ", 3 , 0   , 0   , 6 ," 1,171,345 ", 0   , 0   , 6 ," 588,685 ", 0   , 0   , 1 ," 5,229 ", 1 , 519 , 0   , 0   , 0   , 0   
2021,94539," 12,494,199 "," 9,009 "," 715,793 "," 487,304 ",, 0.34 ," 6,369 "," 2,246 ", 368 , 21 , 4 , 3 ," 1,289,175 ", 0   , 0   , 3 ," 489,896 ", 0   , 0   , 0   , 0   , 1 ," 8,561 ", 0   , 0   , 0   , 0   
2021,94541," 6,484,609 "," 5,511 "," 440,876 "," 301,599 ",, 0.66 ," 2,729 "," 2,007 ", 703 , 71 , 0   , 8 ," 427,280 ", 0   , 0   , 7 ," 148,257 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94542," 4,499,439 "," 2,476 "," 732,220 "," 479,762 ",, 1.54 , 302 , 840 ," 1,045 ", 284 , 6 , 1 ," 304,717 ", 0   , 0   , 1 ," 7,487 ", 0   , 0   , 1 ," 16,133 ", 0   , 0   , 1 ," 4,950 ", 0   , 0   
2021,94544," 7,468,370 "," 6,766 "," 423,812 "," 285,314 ",, 0.29 ," 4,884 "," 1,777 ", 98 , 7 , 0   , 7 ," 373,431 ", 1 ," 2,750 ", 4 ," 191,298 ", 0   , 0   , 0   , 0   , 1 ," 7,064 ", 0   , 0   , 1 ," 3,607 "
2021,94545," 4,515,227 "," 4,262 "," 451,684 "," 307,733 ",, 0.27 ," 3,112 "," 1,148 ", 1 , 0   , 0   , 6 ," 246,640 ", 2 ," 28,913 ", 5 ," 41,441 ", 1 ," 7,522 ", 1 ," 22,117 ", 1 ," 5,791 ", 1 ," 18,511 ", 0   , 0   
2021,94546," 8,199,995 "," 6,607 "," 516,692 "," 356,065 ",, 0.67 ," 3,140 "," 2,615 ", 775 , 77 , 0   , 10 ," 1,203,316 ", 0   , 0   , 8 ," 284,072 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94550," 11,993,635 "," 9,268 "," 625,617 "," 441,834 ",, 0.54 ," 4,737 "," 4,077 ", 429 , 25 , 0   , 2 ," 135,170 ", 0   , 0   , 1 ," 51,798 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94551," 6,575,556 "," 5,812 "," 484,871 "," 339,556 ",, 0.46 ," 3,352 "," 2,283 ", 165 , 11 , 0   , 5 ," 918,110 ", 0   , 0   , 4 ," 228,575 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94552," 5,459,706 "," 2,996 "," 681,013 "," 461,956 ",, 1.47 , 509 , 925 ," 1,228 ", 311 , 22 , 3 ," 166,082 ", 0   , 0   , 3 ," 347,731 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94555," 4,931,329 "," 4,768 "," 502,516 "," 336,961 ",, 0.24 ," 3,623 "," 1,144 ", 1 , 0   , 0   , 2 ," 41,365 ", 0   , 0   , 2 ," 22,777 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94560," 6,898,025 "," 6,705 "," 484,589 "," 326,970 ",, 0.26 ," 4,993 "," 1,711 ", 1 , 0   , 0   , 1 ," 49,022 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 8,766 ", 0   , 0   , 1 ," 2,922 "
2021,94566," 12,332,586 "," 7,423 "," 801,810 "," 543,960 ",, 0.57 ," 3,831 "," 2,994 ", 536 , 56 , 6 , 4 ," 315,863 ", 1 ," 6,423 ", 6 ," 144,007 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94568," 10,918,864 "," 8,630 "," 683,299 "," 445,130 ",, 0.48 ," 5,497 "," 2,189 ", 911 , 29 , 4 , 5 ," 167,115 ", 0   , 0   , 4 ," 55,968 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94577," 6,574,438 "," 5,740 "," 466,179 "," 323,977 ",, 0.40 ," 3,580 "," 2,023 ", 118 , 19 , 0   , 7 ," 967,206 ", 0   , 0   , 8 ," 235,402 ", 0   , 0   , 1 ," 6,902 ", 1 ," 6,785 ", 0   , 0   , 0   , 0   
2021,94578," 3,659,329 "," 3,501 "," 416,210 "," 282,930 ",, 0.33 ," 2,359 "," 1,113 ", 29 , 0   , 0   , 1 ," 485,256 ", 0   , 0   , 1 ," 51,179 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94579," 3,202,211 "," 3,163 "," 425,272 "," 288,376 ",, 0.33 ," 2,128 "," 1,029 ", 6 , 1 , 0   , 2 ," 20,257 ", 0   , 0   , 1 , 975 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94580," 4,377,039 "," 4,328 "," 395,440 "," 273,811 ",, 0.34 ," 2,839 "," 1,487 ", 3 , 0   , 0   , 4 ," 517,594 ", 0   , 0   , 3 ," 127,239 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94586," 484,314 ", 223 ," 867,352 "," 577,790 ",, 1.97 , 1 , 66 , 100 , 50 , 6 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94587," 9,615,849 "," 8,379 "," 487,689 "," 336,015 ",, 0.28 ," 6,096 "," 2,261 ", 20 , 1 , 0   , 5 ," 732,270 ", 1 ," 6,178 ", 5 ," 371,561 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94588," 6,744,004 "," 4,600 "," 678,427 "," 464,530 ",, 0.50 ," 2,722 "," 1,511 ", 308 , 57 , 2 , 2 ," 536,026 ", 0   , 0   , 1 ," 101,994 ", 0   , 0   , 0   , 0   , 1 ," 7,949 ", 0   , 0   , 0   , 0   
2021,94601," 3,601,203 "," 2,755 "," 403,958 "," 269,003 ",, 0.36 ," 1,751 "," 1,003 ", 1 , 0   , 0   , 2 ," 73,070 ", 1 ," 29,389 ", 1 ," 27,221 ", 1 ," 39,488 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94602," 7,982,331 "," 4,803 "," 586,257 "," 401,216 ",, 0.73 ," 2,157 "," 2,034 ", 365 , 242 , 5 , 0   , 0   , 0   , 0   , 2 ," 34,751 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94603," 2,981,415 "," 2,727 "," 324,919 "," 217,215 ",, 0.33 ," 1,833 ", 890 , 3 , 1 , 0   , 7 ," 944,537 ", 0   , 0   , 4 ," 197,114 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94605," 9,791,861 "," 6,226 "," 501,542 "," 344,110 ",, 0.96 ," 2,105 "," 2,654 "," 1,073 ", 384 , 9 , 13 ," 2,087,656 ", 1 ," 5,890 ", 12 ," 790,002 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94606," 2,050,752 "," 1,405 "," 490,929 "," 318,237 ",, 0.31 , 970 , 430 , 5 , 0   , 0   , 2 ," 778,639 ", 0   , 0   , 2 ," 97,352 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94607," 990,705 ", 702 ," 508,379 "," 336,722 ",, 0.34 , 462 , 239 , 1 , 0   , 0   , 2 ," 1,331,709 ", 0   , 0   , 2 ," 338,939 ", 0   , 0   , 0   , 0   , 1 ," 26,950 ", 0   , 0   , 1 ," 8,983 "
2021,94608," 2,390,801 "," 1,695 "," 468,748 "," 317,754 ",, 0.35 ," 1,099 ", 593 , 3 , 0   , 0   , 4 ," 592,435 ", 0   , 0   , 4 ," 258,919 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94609," 2,684,521 "," 1,632 "," 548,633 "," 369,217 ",, 0.39 , 999 , 626 , 7 , 0   , 0   , 3 ," 268,055 ", 1 ," 14,309 ", 1 ," 8,797 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94610," 6,371,225 "," 2,904 "," 887,141 "," 598,609 ",, 0.82 ," 1,087 "," 1,398 ", 277 , 141 , 1 , 1 ," 26,035 ", 0   , 0   , 1 , 665 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94611," 17,854,971 "," 6,892 "," 1,009,459 "," 654,420 ",, 1.80 , 736 ," 2,513 "," 1,146 "," 2,411 ", 86 , 4 ," 1,426,010 ", 0   , 0   , 3 ," 719,318 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
