year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2018,18," 4,320,965,552 "," 4,023,930 "," 469,856 "," 296,343 ", 3.67 ,,,,,,," 4,767 "," 366,376,266 ", 439 ," 7,559,115 "," 3,113 "," 146,001,847 ", 241 ," 2,453,709 "," 12,714 "," 3,483,034,251 "," 1,780 "," 46,833,696 "," 11,419 "," 1,527,210,436 "," 1,061 "," 16,095,193 "
2018,94501," 7,024,899 "," 5,683 "," 544,039 "," 362,319 ", 1.19 ,,,,,,, 2 ," 20,545 ", 0   , 0   , 1 , 983 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,94502," 2,066,547 "," 1,943 "," 504,419 "," 339,621 ", 1.21 ,,,,,,, 1 ," 196,613 ", 0   , 0   , 1 ," 26,633 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,94536," 7,779,823 "," 8,746 "," 438,364 "," 302,044 ", 1.99 ,,,,,,, 6 ," 134,921 ", 0   , 0   , 4 ," 19,401 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,94537," 1,415 ", 2 ," 343,715 "," 257,971 ", 3.00 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,94538," 4,637,216 "," 6,090 "," 367,561 "," 250,945 ", 2.01 ,,,,,,, 6 ," 169,283 ", 0   , 0   , 3 ," 93,330 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,94539," 9,946,010 "," 9,220 "," 600,811 "," 414,630 ", 2.00 ,,,,,,, 5 ," 47,346 ", 0   , 0   , 2 ," 3,944 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,94541," 5,161,568 "," 5,584 "," 379,391 "," 253,563 ", 2.12 ,,,,,,, 10 ," 202,234 ", 0   , 0   , 7 ," 74,651 ", 0   , 0   , 1 ," 24,302 ", 0   , 0   , 0   , 0   , 0   , 0   
2018,94542," 3,124,272 "," 2,500 "," 625,194 "," 415,358 ", 2.01 ,,,,,,, 4 ," 94,393 ", 0   , 0   , 1 ," 37,316 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,94544," 5,843,729 "," 7,020 "," 362,426 "," 238,772 ", 2.12 ,,,,,,, 4 ," 10,531 ", 2 ," 42,392 ", 1 ," 2,265 ", 1 ," 2,643 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,94545," 3,536,869 "," 4,337 "," 392,327 "," 261,645 ", 2.09 ,,,,,,, 5 ," 268,557 ", 0   , 0   , 2 ," 191,872 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,94546," 6,575,854 "," 6,910 "," 442,617 "," 298,020 ", 2.05 ,,,,,,, 6 ," 860,160 ", 0   , 0   , 4 ," 389,673 ", 0   , 0   , 1 ," 1,448 ", 0   , 0   , 1 , 98 , 0   , 0   
