fid,ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,zip_area,GEOID20_2,FHSZ_avg_rating
1,"94587","94587",860Z200US94587,B5,G6350,S,50844436,2902181,"+37.5900083","-122.0751870",53746614.7631371,"94587",0.000202603931380817
2,"95126","95126",860Z200US95126,B5,G6350,S,8614589,0,"+37.3269219","-121.9167787",8614584.9224924,,0
3,"90602","90602",860Z200US90602,B5,G6350,S,9717095,5673,"+33.9742425","-118.0223302",9722759.91722388,"90602",1.41968055147331
4,"95130","95130",860Z200US95130,B5,G6350,S,3726998,0,"+37.2776760","-121.9862380",3726998.55107916,,0
5,"95035","95035",860Z200US95035,B5,G6350,S,58099918,119350,"+37.4403973","-121.8746930",58219249.7720616,"95035",0.637139904095052
6,"92657","92657",860Z200US92657,B5,G6350,S,21494836,1549909,"+33.5950576","-117.8291306",23044741.1816262,"92657",2.58349014117973
7,"92704","92704",860Z200US92704,B5,G6350,S,19184264,62530,"+33.7211311","-117.9051096",19246779.0490871,,0
8,"92701","92701",860Z200US92701,B5,G6350,S,8351657,0,"+33.7486219","-117.8587143",8351659.34478586,,0
9,"92697","92697",860Z200US92697,B5,G6350,S,421086,62414,"+33.6497270","-117.8490847",483502.26546553,,0
10,"92602","92602",860Z200US92602,B5,G6350,S,39127973,237832,"+33.7364976","-117.7349328",39365819.5836979,"92602",1.87620244005838
11,"90249","90249",860Z200US90249,B5,G6350,S,7696621,88656,"+33.9013900","-118.3156967",7785278.76842262,,0
12,"94085","94085",860Z200US94085,B5,G6350,S,9097788,0,"+37.3886171","-122.0179326",9097792.79581646,,0
13,"94128","94128",860Z200US94128,B5,G6350,S,8687482,0,"+37.6219551","-122.3837971",8687482.4311106,,0
14,"90746","90746",860Z200US90746,B5,G6350,S,14982262,137288,"+33.8592309","-118.2523119",15119550.8727602,,0
15,"90505","90505",860Z200US90505,B5,G6350,S,15155933,29696,"+33.8078823","-118.3479566",15185616.6059797,"90505",0.0327084666478264
16,"94061","94061",860Z200US94061,B5,G6350,S,10000098,4125,"+37.4611469","-122.2369482",10004225.0678056,"94061",0.359193902380158
17,"94403","94403",860Z200US94403,B5,G6350,S,14588594,404164,"+37.5384494","-122.3054470",14992754.5622324,"94403",9.7781363909918e-08
18,"94018","94018",860Z200US94018,B5,G6350,S,1499652,0,"+37.5059971","-122.4733175",1499653.20525507,"94018",0.166058155316465
19,"94401","94401",860Z200US94401,B5,G6350,S,8056553,3615,"+37.5751719","-122.3198815",8060165.50759142,,0
20,"93535","93535",860Z200US93535,B5,G6350,S,618967557,216502,"+34.6983916","-117.8899453",619184091.211462,,0
21,"95625","95625",860Z200US95625,B5,G6350,S,2385482,0,"+38.3573109","-121.9086393",2385481.53748734,,0
