ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,FHSZ_mean,FHSZ_majority
"94587","94587",860Z200US94587,B5,G6350,S,"50844436","2902181","+37.5900083","-122.0751870",1.666667,2.000000
"95126","95126",860Z200US95126,B5,G6350,S,"8614589","0","+37.3269219","-121.9167787",0.000000,0.000000
"90602","90602",860Z200US90602,B5,G6350,S,"9717095","5673","+33.9742425","-118.0223302",3.000000,3.000000
"95130","95130",860Z200US95130,B5,G6350,S,"3726998","0","+37.2776760","-121.9862380",0.000000,0.000000
"95035","95035",860Z200US95035,B5,G6350,S,"58099918","119350","+37.4403973","-121.8746930",2.000000,2.000000
"92657","92657",860Z200US92657,B5,G6350,S,"21494836","1549909","+33.5950576","-117.8291306",2.400000,3.000000
"92704","92704",860Z200US92704,B5,G6350,S,"19184264","62530","+33.7211311","-117.9051096",0.000000,0.000000
"92701","92701",860Z200US92701,B5,G6350,S,"8351657","0","+33.7486219","-117.8587143",0.000000,0.000000
"92697","92697",860Z200US92697,B5,G6350,S,"421086","62414","+33.6497270","-117.8490847",0.000000,0.000000
"92602","92602",860Z200US92602,B5,G6350,S,"39127973","237832","+33.7364976","-117.7349328",2.142857,3.000000
"90249","90249",860Z200US90249,B5,G6350,S,"7696621","88656","+33.9013900","-118.3156967",0.000000,0.000000
"94085","94085",860Z200US94085,B5,G6350,S,"9097788","0","+37.3886171","-122.0179326",0.000000,0.000000
"94128","94128",860Z200US94128,B5,G6350,S,"8687482","0","+37.6219551","-122.3837971",0.000000,0.000000
"90746","90746",860Z200US90746,B5,G6350,S,"14982262","137288","+33.8592309","-118.2523119",0.000000,0.000000
"90505","90505",860Z200US90505,B5,G6350,S,"15155933","29696","+33.8078823","-118.3479566",3.000000,3.000000
"94061","94061",860Z200US94061,B5,G6350,S,"10000098","4125","+37.4611469","-122.2369482",2.333333,3.000000
"94403","94403",860Z200US94403,B5,G6350,S,"14588594","404164","+37.5384494","-122.3054470",1.000000,1.000000
"94018","94018",860Z200US94018,B5,G6350,S,"1499652","0","+37.5059971","-122.4733175",2.500000,2.000000
"94401","94401",860Z200US94401,B5,G6350,S,"8056553","3615","+37.5751719","-122.3198815",0.000000,0.000000
"93535","93535",860Z200US93535,B5,G6350,S,"618967557","216502","+34.6983916","-117.8899453",0.000000,0.000000
"95625","95625",860Z200US95625,B5,G6350,S,"2385482","0","+38.3573109","-121.9086393",0.000000,0.000000
"95676","95676",860Z200US95676,B5,G6350,S,"3271386","7574","+38.8743299","-121.7138440",0.000000,0.000000
"92683","92683",860Z200US92683,B5,G6350,S,"25178176","0","+33.7524276","-117.9938698",0.000000,0.000000
"92646","92646",860Z200US92646,B5,G6350,S,"20850754","711094","+33.6610291","-117.9679484",0.000000,0.000000
"95010","95010",860Z200US95010,B5,G6350,S,"3581425","213680","+36.9763550","-121.9547232",0.000000,0.000000
"94973","94973",860Z200US94973,B5,G6350,S,"10231785","0","+38.0125906","-122.6394000",1.750000,1.000000
"91343","91343",860Z200US91343,B5,G6350,S,"15340898","28358","+34.2388019","-118.4822956",0.000000,0.000000
"94963","94963",860Z200US94963,B5,G6350,S,"4135301","0","+38.0076100","-122.6647483",2.500000,2.000000
"91601","91601",860Z200US91601,B5,G6350,S,"6828749","498","+34.1682530","-118.3722855",0.000000,0.000000
"92630","92630",860Z200US92630,B5,G6350,S,"27292347","202929","+33.6449291","-117.6843122",3.000000,3.000000
"95619","95619",860Z200US95619,B5,G6350,S,"15374248","102128","+38.6806051","-120.8142611",2.000000,1.000000
"92505","92505",860Z200US92505,B5,G6350,S,"26356959","0","+33.9266658","-117.4928043",3.000000,3.000000
"92571","92571",860Z200US92571,B5,G6350,S,"101292581","8058009","+33.8421292","-117.1949824",2.058824,2.000000
"92656","92656",860Z200US92656,B5,G6350,S,"20715604","0","+33.5752015","-117.7303522",2.700000,3.000000
"92629","92629",860Z200US92629,B5,G6350,S,"13103803","3032515","+33.4750606","-117.7056302",3.000000,3.000000
"92521","92521",860Z200US92521,B5,G6350,S,"1851917","9272","+33.9671399","-117.3263716",3.000000,3.000000
"92582","92582",860Z200US92582,B5,G6350,S,"47688512","59055","+33.8076069","-117.0151631",2.090909,3.000000
"90039","90039",860Z200US90039,B5,G6350,S,"9426953","476421","+34.1118846","-118.2610325",3.000000,3.000000
"90027","90027",860Z200US90027,B5,G6350,S,"21042927","269098","+34.1276025","-118.2963810",3.000000,3.000000
"94535","94535",860Z200US94535,B5,G6350,S,"24870033","186948","+38.2709367","-121.9370172",0.000000,0.000000
"94923","94923",860Z200US94923,B5,G6350,S,"50049962","9150469","+38.3394148","-123.0345254",1.666667,2.000000
"90095","90095",860Z200US90095,B5,G6350,S,"1035082","0","+34.0711826","-118.4434044",3.000000,3.000000
"95404","95404",860Z200US95404,B5,G6350,S,"195260032","44762","+38.5257333","-122.6904432",1.781250,1.000000
"94972","94972",860Z200US94972,B5,G6350,S,"11813394","0","+38.3366418","-122.9393071",1.000000,1.000000
"94938","94938",860Z200US94938,B5,G6350,S,"24559489","0","+38.0302365","-122.7295132",1.500000,1.000000
"94521","94521",860Z200US94521,B5,G6350,S,"25078322","0","+37.9529096","-121.9696955",1.714286,1.000000
"94621","94621",860Z200US94621,B5,G6350,S,"22050268","4656859","+37.7511299","-122.2101780",0.000000,0.000000
"94612","94612",860Z200US94612,B5,G6350,S,"2481827","602434","+37.8077089","-122.2668574",0.000000,0.000000
"94531","94531",860Z200US94531,B5,G6350,S,"36331690","0","+37.9566481","-121.7777900",1.857143,2.000000
"94806","94806",860Z200US94806,B5,G6350,S,"20336072","58751","+37.9784270","-122.3364179",3.000000,3.000000
"91791","91791",860Z200US91791,B5,G6350,S,"17201726","53301","+34.0616241","-117.8922352",2.125000,2.000000
"94805","94805",860Z200US94805,B5,G6350,S,"4830983","0","+37.9422094","-122.3235455",3.000000,3.000000
"94549","94549",860Z200US94549,B5,G6350,S,"51399963","431202","+37.9011371","-122.1190811",1.928571,2.000000
"94710","94710",860Z200US94710,B5,G6350,S,"5594275","5864364","+37.8639140","-122.3064650",0.000000,0.000000
"92865","92865",860Z200US92865,B5,G6350,S,"9915770","1295","+33.8263928","-117.8513073",0.000000,0.000000
"92802","92802",860Z200US92802,B5,G6350,S,"11791781","0","+33.8083143","-117.9236894",0.000000,0.000000
"92844","92844",860Z200US92844,B5,G6350,S,"5437594","0","+33.7655987","-117.9695064",0.000000,0.000000
"94804","94804",860Z200US94804,B5,G6350,S,"16816780","7263599","+37.9154627","-122.3378152",0.000000,0.000000
"94516","94516",860Z200US94516,B5,G6350,S,"9356511","0","+37.8274954","-122.1663001",2.857143,3.000000
"91020","91020",860Z200US91020,B5,G6350,S,"1860873","0","+34.2113702","-118.2306878",3.000000,3.000000
"94706","94706",860Z200US94706,B5,G6350,S,"3792610","0","+37.8896978","-122.2958583",0.000000,0.000000
"91506","91506",860Z200US91506,B5,G6350,S,"6276224","196","+34.1697056","-118.3235483",0.000000,0.000000
"90056","90056",860Z200US90056,B5,G6350,S,"5847234","0","+33.9935808","-118.3688386",3.000000,3.000000
"94545","94545",860Z200US94545,B5,G6350,S,"37502645","4307855","+37.6297614","-122.1242376",0.000000,0.000000
"95128","95128",860Z200US95128,B5,G6350,S,"10180639","0","+37.3158842","-121.9364309",0.000000,0.000000
"95125","95125",860Z200US95125,B5,G6350,S,"18867187","0","+37.2955986","-121.8940712",0.000000,0.000000
"95118","95118",860Z200US95118,B5,G6350,S,"10530686","158166","+37.2553638","-121.8919118",0.000000,0.000000
"91755","91755",860Z200US91755,B5,G6350,S,"8159701","130227","+34.0509646","-118.1143942",0.000000,0.000000
"91108","91108",860Z200US91108,B5,G6350,S,"9813448","18177","+34.1223718","-118.1142336",0.000000,0.000000
"93526","93526",860Z200US93526,B5,G6350,S,"138612139","73882","+36.8571250","-118.2581451",2.285714,3.000000
"95811","95811",860Z200US95811,B5,G6350,S,"5999138","311590","+38.5937915","-121.4821584",0.000000,0.000000
"96115","96115",860Z200US96115,B5,G6350,S,"289952170","117659277","+41.6914710","-120.0793214",1.745098,1.000000
"93202","93202",860Z200US93202,B5,G6350,S,"3979591","0","+36.3186861","-119.7075200",0.000000,0.000000
"95934","95934",860Z200US95934,B5,G6350,S,"55793786","1618418","+40.0600999","-120.9079574",2.714286,3.000000
"93701","93701",860Z200US93701,B5,G6350,S,"3939126","0","+36.7496010","-119.7878098",0.000000,0.000000
"93905","93905",860Z200US93905,B5,G6350,S,"23931170","93277","+36.6850680","-121.6059918",0.000000,0.000000
